n_species,n_ecosystems,Sell,autoconsumption,O_uses,n_preparations,n_Agr_pract,hhsize,age,wealthindex,num_emp,inc,area,l_fields,m_fields,cd_field,cd_garden,cd_tree
n_species,1,0.379407376424391,0.147944667753524,0.997374587481645,0.0113568697093492,0.479741845497989,0.26261316948832,0.0515828303520029,0.134710215801585,-0.13363568529927,-0.132397204281749,-0.0571477946124576,0.00798117209413908,0.022769072755695,-0.0101280350469847,0.0514781448119011,0.173929381291594,-0.0863125084571472
n_ecosystems,0.379407376424391,1,0.111471976362685,0.380755707988699,0.000621715256026906,0.314236456884473,0.134490732849549,-0.0350309027162954,0.033733334592049,-0.162883783864021,-0.150091620717552,0.0743754280702408,-0.0540800712293761,0.109503788934952,0.132409646986172,0.0275144352538184,0.0933031105690166,0.0443646722760348
Sell,0.147944667753524,0.111471976362685,1,0.0964521762659527,-0.0104745129994213,0.0357226373273134,0.0947947604415194,-0.0181597674808036,0.0244559699969031,-0.0819830261723908,0.0216956334539028,0.00547580708155181,0.0508187205578119,0.0728002089938218,0.0321463798230845,0.103129275413687,0.000646462825067124,-0.029080632587422
autoconsumption,0.997374587481645,0.380755707988699,0.0964521762659527,1,0.0119949029054171,0.487113104573289,0.261462069861412,0.0524876750221621,0.137328779739869,-0.131837904540005,-0.132036827569865,-0.0555066544927418,0.00663137452154194,0.0254360450411702,-0.0076485370233634,0.0484300078800553,0.175366150358914,-0.0834864233937166
O_uses,0.0113568697093492,0.000621715256026906,-0.0104745129994213,0.0119949029054171,1,-0.0492785987811726,-0.0210511264384765,0.000910657609466704,0.0169005330564207,-0.0560584354012697,-0.0463929957834577,-0.0153427196506857,0.0417135149405695,0.00889275775073794,0.017508105616723,-0.0487191396632539,-0.0636223892542729,0.00325587387429097
n_preparations,0.479741845497989,0.314236456884473,0.0357226373273134,0.487113104573289,-0.0492785987811726,1,0.149590124040642,0.0217739229899995,0.178977802526759,-0.0653440680351303,-0.101183619262672,-0.030698432302916,0.0189626495268719,0.0138454666926804,0.0140748529777847,0.0888804351345652,0.0243822675863008,-0.000168698747892509
n_Agr_pract,0.26261316948832,0.134490732849549,0.0947947604415194,0.261462069861412,-0.0210511264384765,0.149590124040642,1,-0.009102922439712,0.00577000549386744,-0.130385095084904,-0.149091863987585,-0.043055782982838,-0.00688882533540971,0.0372893982336928,-0.00639802417785423,0.0733595564407498,0.0482116789954111,0.0186924509494246
hhsize,0.0515828303520029,-0.0350309027162954,-0.0181597674808036,0.0524876750221621,0.000910657609466704,0.0217739229899995,-0.009102922439712,1,-0.0102515796277396,0.0856635402027871,0.0357069653237889,-0.0169015947853931,0.0546040146706029,-0.0353249232100916,-0.0489753884771941,0.0790365169579486,0.058021664126385,0.0819477743800837
age,0.134710215801585,0.033733334592049,0.0244559699969031,0.137328779739869,0.0169005330564207,0.178977802526759,0.00577000549386744,-0.0102515796277396,1,-0.00284828235001765,-0.00247049145135743,-0.0814204589242889,0.00430936232009769,0.0454013619667159,0.0535541791049335,0.16768034127913,0.131676134280978,0.156212626763912
wealthindex,-0.13363568529927,-0.162883783864021,-0.0819830261723908,-0.131837904540005,-0.0560584354012697,-0.0653440680351303,-0.130385095084904,0.0856635402027871,-0.00284828235001765,1,0.286560368404539,0.124744334446225,-0.0190202947859927,-0.0534534169102296,-0.0469647233398531,-0.0114913058782898,-0.0251860610620897,0.0687852001750009
num_emp,-0.132397204281749,-0.150091620717552,0.0216956334539028,-0.132036827569865,-0.0463929957834577,-0.101183619262672,-0.149091863987585,0.0357069653237889,-0.00247049145135743,0.286560368404539,1,0.127952381299741,-0.0732170498636567,-0.0262301266611017,0.00136246988264311,0.0385251835528163,0.01305073707569,-0.0704376248582169
inc,-0.0571477946124576,0.0743754280702408,0.00547580708155181,-0.0555066544927418,-0.0153427196506857,-0.030698432302916,-0.043055782982838,-0.0169015947853931,-0.0814204589242889,0.124744334446225,0.127952381299741,1,0.0547886216141148,0.0374293696202721,0.0431422886123833,0.0209936330117061,0.07415596274076,0.0344139706011554
area,0.00798117209413908,-0.0540800712293761,0.0508187205578119,0.00663137452154194,0.0417135149405695,0.0189626495268719,-0.00688882533540971,0.0546040146706029,0.00430936232009769,-0.0190202947859927,-0.0732170498636567,0.0547886216141148,1,0.144806432231515,0.0975602657012696,0.125600847294273,-0.0591704405817325,-0.0931779623335837
l_fields,0.022769072755695,0.109503788934952,0.0728002089938218,0.0254360450411702,0.00889275775073794,0.0138454666926804,0.0372893982336928,-0.0353249232100916,0.0454013619667159,-0.0534534169102296,-0.0262301266611017,0.0374293696202721,0.144806432231515,1,0.915405462574329,0.192483949628406,0.101565051568469,0.0831006656093909
m_fields,-0.0101280350469847,0.132409646986172,0.0321463798230845,-0.0076485370233634,0.017508105616723,0.0140748529777847,-0.00639802417785423,-0.0489753884771941,0.0535541791049335,-0.0469647233398531,0.00136246988264311,0.0431422886123833,0.0975602657012696,0.915405462574329,1,0.19524704501985,0.0974440489180124,0.0873667123305207
cd_field,0.0514781448119011,0.0275144352538184,0.103129275413687,0.0484300078800553,-0.0487191396632539,0.0888804351345652,0.0733595564407498,0.0790365169579486,0.16768034127913,-0.0114913058782898,0.0385251835528163,0.0209936330117061,0.125600847294273,0.192483949628406,0.19524704501985,1,0.101683297825312,0.0877679384540482
cd_garden,0.173929381291594,0.0933031105690166,0.000646462825067124,0.175366150358914,-0.0636223892542729,0.0243822675863008,0.0482116789954111,0.058021664126385,0.131676134280978,-0.0251860610620897,0.01305073707569,0.07415596274076,-0.0591704405817325,0.101565051568469,0.0974440489180124,0.101683297825312,1,0.227710426334675
cd_tree,-0.0863125084571472,0.0443646722760348,-0.029080632587422,-0.0834864233937166,0.00325587387429097,-0.000168698747892509,0.0186924509494246,0.0819477743800837,0.156212626763912,0.0687852001750009,-0.0704376248582169,0.0344139706011554,-0.0931779623335837,0.0831006656093909,0.0873667123305207,0.0877679384540482,0.227710426334675,1
